Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
New Test Suite 1.2,,,,2023-08-22 22:17:24,2023-08-22 22:17:24,0.595s,PASSED
,,,,,,,
Test Cases/New Test Case .1.2,,,,2023-08-22 22:17:24,2023-08-22 22:17:24,0.327s,PASSED
return null,,,,2023-08-22 22:17:24,2023-08-22 22:17:24,0.002s,PASSED
,,,,,,,
Test Cases/New Test Case .1.2,,,,2023-08-22 22:17:24,2023-08-22 22:17:24,0.000s,PASSED
return null,,,,2023-08-22 22:17:24,2023-08-22 22:17:24,0.000s,PASSED
